index        real(x)        imag(x)        real(y)        imag(y)          error
0              1              0              1              0              0
1       0.955337        0.29552              1              0            0.3
2       0.825336       0.564642       0.999963     0.00860389       0.591396
3        0.62161       0.783327       0.999408      0.0344024       0.865591
4       0.362358       0.932039       0.997025      0.0770722        1.12285
5      0.0707372       0.997495       0.990726       0.135874         1.3637
6      -0.227202       0.973848       0.977755       0.209751        1.58868
7      -0.504846       0.863209       0.954835       0.297137        1.79831
8      -0.737394       0.675463       0.918355       0.395757        1.99311
9      -0.904072        0.42738       0.864621       0.502424         2.1736
10      -0.989992        0.14112       0.790173       0.612884         2.3403
11       -0.98748      -0.157745       0.692174       0.721731         2.4937
12      -0.896759       -0.44252       0.568852        0.82244        2.63431
13      -0.725933      -0.687766        0.41998       0.907533        2.76263
14      -0.490261      -0.871576       0.247328       0.968932        2.87913
15      -0.210796       -0.97753      0.0550538       0.998483        2.98429
16      0.0874992      -0.996165       -0.15006       0.988677        3.07857
17       0.377978      -0.925815      -0.358585       0.933497       -3.12073
18       0.634693      -0.772764      -0.401022       0.916069       -2.86661
19       0.834713      -0.550685      -0.284007       0.958822       -2.44195
20       0.960171      -0.279415      -0.177049       0.984202       -2.03197
21       0.999859       0.016815      -0.087581       0.996157       -1.64167
22       0.950232       0.311543     -0.0167726       0.999859       -1.27075
23       0.815724       0.578441      0.0352475       0.999379      -0.918725
24        0.60835       0.793669      0.0688221       0.997629      -0.585103
25       0.346634       0.938001      0.0844856       0.996425      -0.269393
26      0.0539533       0.998543      0.0827817       0.996568       0.028897
27      -0.243546       0.969889      0.0641985       0.997937       0.310263
28      -0.519291       0.854598      0.0291719       0.999574       0.575197
29      -0.748648       0.662967     -0.0218276       0.999762       0.824192
30      -0.911131       0.412116     -0.0881695       0.996105        1.05774
31      -0.992226       0.124451      -0.168885       0.985636        1.27632
32      -0.984687       -0.17433      -0.262473       0.964939        1.48044
33       -0.88919      -0.457539      -0.366699        0.93034        1.67056
34      -0.714263      -0.699877      -0.478414       0.878134        1.84717
35      -0.475534      -0.879698        -0.5934       0.804908        2.01075
36      -0.194326      -0.980937      -0.706312       0.707901        2.16175
37        0.10424      -0.994552       -0.81072       0.585434        2.30064
38       0.393495      -0.919327      -0.899288       0.437358        2.42788
39         0.6476      -0.761981      -0.964117       0.265477        2.54393
40       0.843857      -0.536569      -0.997265      0.0739097         2.6492
41       0.964734      -0.263227      -0.991423      -0.130695        2.74416
42       0.999434      0.0336282      -0.940733      -0.339148        2.82922
43       0.944858       0.327479      -0.841668      -0.539996         2.9048
44       0.805881       0.592078      -0.693889      -0.720082        2.97131
45       0.594916       0.803788      -0.500978       -0.86546        3.02916
46       0.330809       0.943698      -0.270884      -0.962612        3.07874
47      0.0371523        0.99931     -0.0160134      -0.999872        3.12045
48      -0.259823       0.965656       0.247197      -0.968965       -3.12854
49       -0.53359       0.845743       0.335867      -0.941909       -2.92128
50      -0.759692       0.650283       0.258994      -0.965879       -2.54073
51      -0.917934       0.396734       0.192241      -0.981348        -2.1722
52      -0.994178       0.107747       0.141557       -0.98993       -1.82079
53      -0.981616      -0.190866       0.107293      -0.994227       -1.48625
54      -0.881369      -0.472428      0.0893221      -0.996003       -1.16819
55      -0.702393      -0.711789      0.0873386      -0.996179      -0.866204
56      -0.460674      -0.887569        0.10095      -0.994892      -0.579877
57      -0.177805      -0.984066       0.129679      -0.991556        -0.3088
58       0.120947      -0.992659       0.172915      -0.984937     -0.0525443
59       0.408895      -0.912581       0.229876       -0.97322       0.189292
60       0.660318      -0.750986        0.29944      -0.954115       0.417137
61       0.852757      -0.522308       0.380045      -0.924968       0.631397
62       0.969022      -0.246973       0.469518      -0.882923       0.832496
63       0.998728      0.0504223        0.56497      -0.825111        1.02084
64       0.939221       0.343314       0.662676      -0.748906        1.19685
65       0.795816       0.605538       0.758043      -0.652204        1.36093
66       0.581324       0.813672       0.845637      -0.533759        1.51348
67       0.314904       0.949124       0.919314      -0.393524         1.6549
68       0.020355       0.999793       0.972477      -0.232997         1.7856
69      -0.276012       0.961154        0.99846     -0.0554842        1.90595
70      -0.547724       0.836659       0.991024       0.133684        2.01635
